offset_start,offset_end,raw_hex,bits,field_path,decoded_value,endian,notes
0,1,02,00000010,tx.version,2,little,transaction version
1,2,00,00000000,tx.version,2,little,transaction version
2,3,00,00000000,tx.version,2,little,transaction version
3,4,00,00000000,tx.version,2,little,transaction version
4,5,00,00000000,tx.marker,0,,SegWit marker
5,6,01,00000001,tx.flag,1,,SegWit serialization flag
6,7,01,00000001,tx.input_count,1,single byte,CompactSize
7,8,e2,11100010,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
8,9,ac,10101100,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
9,10,8c,10001100,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
10,11,3a,00111010,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
11,12,5f,01011111,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
12,13,b7,10110111,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
13,14,7f,01111111,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
14,15,b4,10110100,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
15,16,b0,10110000,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
16,17,cc,11001100,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
17,18,ff,11111111,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
18,19,33,00110011,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
19,20,4d,01001101,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
20,21,27,00100111,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
21,22,85,10000101,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
22,23,98,10011000,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
23,24,84,10000100,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
24,25,fe,11111110,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
25,26,d4,11010100,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
26,27,d0,11010000,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
27,28,c1,11000001,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
28,29,1f,00011111,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
29,30,f5,11110101,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
30,31,c4,11000100,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
31,32,c4,11000100,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
32,33,5f,01011111,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
33,34,e7,11100111,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
34,35,57,01010111,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
35,36,f4,11110100,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
36,37,9a,10011010,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
37,38,61,01100001,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
38,39,a7,10100111,tx.inputs[0].prev_txid,a7619af457e75fc4c4f51fc1d0d4fe849885274d33ffccb0b47fb75f3a8cace2,internal little-endian hash order,
39,40,00,00000000,tx.inputs[0].prev_vout,0,little,
40,41,00,00000000,tx.inputs[0].prev_vout,0,little,
41,42,00,00000000,tx.inputs[0].prev_vout,0,little,
42,43,00,00000000,tx.inputs[0].prev_vout,0,little,
43,44,00,00000000,tx.inputs[0].script_sig_length,0,single byte,CompactSize
44,45,fd,11111101,tx.inputs[0].sequence,4294967293,little,
45,46,ff,11111111,tx.inputs[0].sequence,4294967293,little,
46,47,ff,11111111,tx.inputs[0].sequence,4294967293,little,
47,48,ff,11111111,tx.inputs[0].sequence,4294967293,little,
