offset_start,offset_end,raw_hex,bits,field_path,decoded_value,endian,notes
0,1,00,00000000,block.header.version,571506688,little,
1,2,80,10000000,block.header.version,571506688,little,
2,3,10,00010000,block.header.version,571506688,little,
3,4,22,00100010,block.header.version,571506688,little,
4,5,cf,11001111,block.header.previous_block_hash,0000000000865d144d99fc51ed2ab39490e3eb144038c0ea7b5cd71ed7369dcf,internal little-endian hash order,
5,6,9d,10011101,block.header.previous_block_hash,0000000000865d144d99fc51ed2ab39490e3eb144038c0ea7b5cd71ed7369dcf,internal little-endian hash order,
6,7,36,00110110,block.header.previous_block_hash,0000000000865d144d99fc51ed2ab39490e3eb144038c0ea7b5cd71ed7369dcf,internal little-endian hash order,
7,8,d7,11010111,block.header.previous_block_hash,0000000000865d144d99fc51ed2ab39490e3eb144038c0ea7b5cd71ed7369dcf,internal little-endian hash order,
8,9,1e,00011110,block.header.previous_block_hash,0000000000865d144d99fc51ed2ab39490e3eb144038c0ea7b5cd71ed7369dcf,internal little-endian hash order,
9,10,d7,11010111,block.header.previous_block_hash,0000000000865d144d99fc51ed2ab39490e3eb144038c0ea7b5cd71ed7369dcf,internal little-endian hash order,
10,11,5c,01011100,block.header.previous_block_hash,0000000000865d144d99fc51ed2ab39490e3eb144038c0ea7b5cd71ed7369dcf,internal little-endian hash order,
11,12,7b,01111011,block.header.previous_block_hash,0000000000865d144d99fc51ed2ab39490e3eb144038c0ea7b5cd71ed7369dcf,internal little-endian hash order,
12,13,ea,11101010,block.header.previous_block_hash,0000000000865d144d99fc51ed2ab39490e3eb144038c0ea7b5cd71ed7369dcf,internal little-endian hash order,
13,14,c0,11000000,block.header.previous_block_hash,0000000000865d144d99fc51ed2ab39490e3eb144038c0ea7b5cd71ed7369dcf,internal little-endian hash order,
14,15,38,00111000,block.header.previous_block_hash,0000000000865d144d99fc51ed2ab39490e3eb144038c0ea7b5cd71ed7369dcf,internal little-endian hash order,
15,16,40,01000000,block.header.previous_block_hash,0000000000865d144d99fc51ed2ab39490e3eb144038c0ea7b5cd71ed7369dcf,internal little-endian hash order,
16,17,14,00010100,block.header.previous_block_hash,0000000000865d144d99fc51ed2ab39490e3eb144038c0ea7b5cd71ed7369dcf,internal little-endian hash order,
17,18,eb,11101011,block.header.previous_block_hash,0000000000865d144d99fc51ed2ab39490e3eb144038c0ea7b5cd71ed7369dcf,internal little-endian hash order,
