 .cirrus.yml                                        |     2 +-
 .../actions/install-homebrew-valgrind/action.yml   |     2 +-
 .github/actions/run-in-docker-action/action.yml    |     5 +
 .github/workflows/ci.yml                           |    18 +-
 CHANGELOG.md                                       |    14 +
 CMakeLists.txt                                     |    72 +-
 CONTRIBUTING.md                                    |     2 +-
 Makefile.am                                        |     2 +
 README.md                                          |     6 +-
 ci/ci.sh                                           |     7 +-
 cmake/AllTargetsCompileOptions.cmake               |    12 +
 configure.ac                                       |    74 +-
 contrib/lax_der_parsing.h                          |     4 +-
 doc/release-process.md                             |    72 +-
 include/secp256k1.h                                |    80 +-
 include/secp256k1_ecdh.h                           |     2 +-
 include/secp256k1_ellswift.h                       |     4 +-
 include/secp256k1_extrakeys.h                      |    10 +-
 include/secp256k1_preallocated.h                   |    14 +-
 include/secp256k1_recovery.h                       |    20 +-
 include/secp256k1_schnorrsig.h                     |     4 +-
 src/assumptions.h                                  |   100 +-
 src/checkmem.h                                     |     7 +
 src/ecmult_const_impl.h                            |     4 +-
 src/ecmult_gen.h                                   |   121 +-
 src/ecmult_gen_compute_table.h                     |     4 +-
 src/ecmult_gen_compute_table_impl.h                |   134 +-
 src/ecmult_gen_impl.h                              |   312 +-
 src/ecmult_impl.h                                  |    12 +-
 src/field.h                                        |     4 +-
 src/hsort.h                                        |    33 +
 src/hsort_impl.h                                   |   125 +
 src/modules/ellswift/tests_impl.h                  |     8 +-
 src/precompute_ecmult_gen.c                        |    77 +-
 src/precomputed_ecmult_gen.c                       | 11501 +++----------------
 src/precomputed_ecmult_gen.h                       |     4 +-
 src/scalar.h                                       |     8 +-
 src/scalar_4x64_impl.h                             |    72 +-
 src/scalar_8x32_impl.h                             |    13 +-
 src/scalar_impl.h                                  |     4 +-
 src/scalar_low_impl.h                              |    31 +-
 src/secp256k1.c                                    |    68 +-
 src/tests.c                                        |   346 +-
 src/tests_exhaustive.c                             |     2 +-
 src/util.h                                         |    33 +-
 tools/check-abi.sh                                 |    27 +-
 46 files changed, 3228 insertions(+), 10248 deletions(-)
