platform,cpu,compiler,algorithm,backend,operation,size_bytes,sample,elapsed_ns,bytes_processed,ns_per_byte,gbps,cycles_per_byte,status
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,64,1,1932000,262144,7.369995117,0.135685300,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,64,2,1950000,262144,7.438659668,0.134432821,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,64,3,1951000,262144,7.442474365,0.134363916,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,64,4,1943000,262144,7.411956787,0.134917138,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,64,5,1938000,262144,7.392883301,0.135265222,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,64,6,1934000,262144,7.377624512,0.135544984,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,64,7,1948000,262144,7.431030273,0.134570842,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,64,8,1949000,262144,7.434844971,0.134501796,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,64,9,1964000,262144,7.492065430,0.133474542,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,64,10,1975000,262144,7.534027100,0.132731139,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,64,11,1947000,262144,7.427215576,0.134639959,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,64,12,1954000,262144,7.453918457,0.134157625,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,64,13,1975000,262144,7.534027100,0.132731139,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,64,14,2025000,262144,7.724761963,0.129453827,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,64,15,1937000,262144,7.389068604,0.135335054,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,512,1,1921000,262144,7.328033447,0.136462259,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,512,2,1921000,262144,7.328033447,0.136462259,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,512,3,1925000,262144,7.343292236,0.136178701,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,512,4,1922000,262144,7.331848145,0.136391259,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,512,5,1947000,262144,7.427215576,0.134639959,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,512,6,1922000,262144,7.331848145,0.136391259,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,512,7,1958000,262144,7.469177246,0.133883555,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,512,8,1962000,262144,7.484436035,0.133610601,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,512,9,1932000,262144,7.369995117,0.135685300,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,512,10,1937000,262144,7.389068604,0.135335054,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,512,11,1919000,262144,7.320404053,0.136604482,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,512,12,1932000,262144,7.369995117,0.135685300,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,512,13,1970000,262144,7.514953613,0.133068020,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,512,14,1919000,262144,7.320404053,0.136604482,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,512,15,1938000,262144,7.392883301,0.135265222,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,4096,1,1925000,262144,7.343292236,0.136178701,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,4096,2,1919000,262144,7.320404053,0.136604482,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,4096,3,1922000,262144,7.331848145,0.136391259,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,4096,4,1984000,262144,7.568359375,0.132129032,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,4096,5,1917000,262144,7.312774658,0.136747001,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,4096,6,1913000,262144,7.297515869,0.137032933,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,4096,7,1919000,262144,7.320404053,0.136604482,,ok
