object,text_segment_bytes,data_segment_bytes,objc_bytes,other_bytes,total_bytes
build/src/aes.o,6232,8200,0,256,14688
build/src/dispatch.o,5762,180,0,416,6358
build/src/gift64.o,8020,272,0,224,8516
build/src/modes.o,12280,0,0,384,12664
build/src/sm4.o,1928,6152,0,192,8272
build/src/sm4_aes_assist.o,1268,272,0,32,1572
build/src/twine.o,2227,0,0,96,2323
build/src/util.o,60,0,0,160,220
build/src/arm64/aes_arm64.o,564,0,0,160,724
build/src/arm64/ghash_pmull.o,344,0,0,32,376
build/src/arm64/shuffle_arm64.o,4340,0,0,128,4468
build/src/arm64/sm4_hw_arm64.o,1104,0,0,64,1168
build/src/x86/aes_vaes.o,312,0,0,64,376
build/src/x86/gfni_model.o,784,0,0,64,848
build/src/x86/ghash_pclmul.o,8,0,0,32,40
build/src/x86/shuffle_x86.o,252,0,0,64,316
build/src/x86/sm4_gfni_x86.o,96,0,0,64,160
build/src/x86/sm4_hw_x86.o,168,0,0,64,232
